NOMBRE_LENGUAJE	NRO_APARICIONES
php	89996
assembly-language	1138
lua	9658
ruby	28336
cpp	45631
visual-basic	898
perl	3844
csharp	47121
javascript	310674
visual-basic-for-applications	35
java	165431
go	41927
object-pascal	215
r	26356
python	278603
objective-c	5462
sql	24457
swift	34028
c	44114
matlab	9746
