"NOMBRE_LENGUAJE","NUMERO_APARICIONES"
"Python",278413
"C",44085
"Java",165323
"C++",45598
"C#",47096
"Visual Basic",896
"JavaScript",310412
"Assembly language",4790
"SQL",24440
"PHP",89957
"Delphi/Object Pascal",1903
"Swift",34014
"R",26342
"Go",41887
"Classic Visual Basic",68
"Objective-C",5461
"Perl",3841
"Lua",9652
"Ruby",28324
"MATLAB",9736
